pmid,year,title,first_last_authors,journal,species,cell_line,n_cells_per_aggregate,chir_uM,chir_onset_h,chir_offset_h,base_media,harvest_timepoints_h,imaging_modalities,fluorescent_reporters,morphology_quantified,morphology_metric,morphology_n,morphology_timepoint_h,elongation_pct,shape_distribution_figure,variability_addressed,key_perturbation,key_finding,full_text_source,pmcid,extraction_reviewed
35707767,2022,A gastruloid model of the interaction between embryonic and extra-embryonic cell types.,Mlp … Stefan,Journal of tissue engineering,mouse,E14,200,3,48,72,N2B27,96,"brightfield, widefield-fluorescence, confocal, light-sheet, live-imaging","Sox1-GFP, mCherry-GPI, eGFP, H2B-GFP",Y,"elongation, symmetry breaking",not reported,96,not reported,N,Y,"XEN cell co-aggregation with mESCs at varying ratios (1:1, 1:2, 1:3, 1:4, 1:5, 0:1); CHIR99021 GSK3 inhibition","Co-aggregation of mESCs with XEN cells (extraembryonic) cells at a 1:3 ratio induces the formation of organized neuroepithelial structures with columnar epithelia and lumina, whereas mESCs alone form disorganized SOX2-positive cells.",PMC,9189523.0,False
36306780,2022,Stabilization of cell-cell adhesions prevents symmetry breaking and locks in pluripotency in 3D gastruloids.,Federica … Gabriella,Stem cell reports,mouse,E14,250-600,not reported,not reported,not reported,N2B27,"48, 120","brightfield, confocal",BRACHYURY,Y,elongation index,24-30,120,not reported,Y,Y,budesonide treatment to inhibit symmetry breaking,"Budesonide, a glucocorticoid, prevents gastruloid elongation and locks cells in pluripotency by stabilizing E-CADHERIN-mediated cell-cell adhesions and blocking differentiation independently of glucocorticoid receptor signaling.",PMC,9669408.0,False
35537519,2022,Gastruloids: Pluripotent stem cell models of mammalian gastrulation and embryo engineering.,Martinez … Naomi,Developmental biology,both,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Gastruloids are ES cell aggregates that undergo controlled proliferation, symmetry breaking, and specification of all three germ layers, but reveal a disconnect between cell type specific gene expression and tissue morphogenesis.",abstract only,9477185.0,False
36214410,2022,Approaches to benchmark and characterize in vitro human model systems.,J … R,"Development (Cambridge, England)",human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"This Spotlight discusses the state of current in vitro model systems including gastruloids and organoids, efforts to create large publicly available atlases of developing human tissues, and how these data are being used to improve in vitro models.",abstract only,10906492.0,False
35486247,2022,Generation of Gastruloids from Epiblast-Like Cells.,Federica … Gabriella,"Methods in molecular biology (Clifton, N.J.)",mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Gastruloids can be generated from epiblast-like cells induced from ESCs, and gastruloid formation efficiency discriminates different states of mouse pluripotency.",abstract only,,False
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,Giuliana … P,Scientific reports,mouse,"Sox1-GFP::Brachyury-mCherry, Flk1-GFP, Gata6-Venus",not reported,not reported,not reported,not reported,not reported,"96, 120, 144, 168",not reported,"Sox1-GFP, Brachyury-mCherry, Flk1-GFP, Gata6-Venus",N,not reported,not reported,not reported,not reported,N,Y,"VEGF, bFGF, and ascorbic acid supplementation to support hematopoietic development","Gastruloids express key hematopoiesis-related genes in a temporally relevant fashion that recapitulates embryonic blood development, with CD41+ blood progenitor cells emerging in close proximity to the vascular network and endodermal compartment, and showing multipotent clonogenic potential and embryonic hemoglobin expression.",PMC,9352713.0,False
35883568,2022,Capturing Transitional Pluripotency through Proline Metabolism.,Gabriella … Jorge,Cells,mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,proline metabolism imbalance,Proline-induced cells represent a metastable naïve-to-primed intermediate pluripotency state with reversible E-cadherin relocalization and capacity for 3D gastruloid development.,abstract only,9323356.0,False
36326003,2022,Chimeric 3D gastruloids - a versatile tool for studies of mammalian peri-gastrulation development.,E … J,"Development (Cambridge, England)",mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,chimeric gastruloids with Tbx brachyury deletion and inducible Eomes expression,"Chimeric gastruloids combining fluorescently labelled cells of different genotypes reveal brachyury and Eomes functions including cardiac fate instruction, posterior axial extension, tissue sorting preferences of mutant cells, and cell non-autonomous effects on Wnt3a patterning.",abstract only,,False
35974701,2022,Human stem cell-derived neurons and neural circuitry therapeutics: Next frontier in spinal cord injury repair.,Belen … L,"Experimental biology and medicine (Maywood, N.J.)",human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"NMP-derived spinal motor neurons generated from hiPSCs demonstrate robust survival when transplanted into spinal cord injury sites, and in vitro gastruloid models are advancing as tools for studying trunk nervous system integration.",abstract only,9837306.0,False
35404233,2022,Cell-state transitions and collective cell movement generate an endoderm-like region in gastruloids.,Ali … Pierre-François,eLife,mouse,E14Tg2a.4,50-60,not reported,48,72,N2B27,"48, 72, 92, 96, 100","brightfield, widefield-fluorescence, confocal, light-sheet, live-imaging","E-cadherin-GFP, Oct4-mCherry, T-Bra-GFP, NE-mKate2",Y,elongation ratio,37,96,80,Y,Y,CHIR99021 (Wnt agonist) pulse for 24 hours starting at 48 hours post-plating,"Chiron-exposed gastruloids develop polarized E-cadherin and T-Brachyury expression at one pole, with E-cadherin-positive cells segregating to form an endoderm-like region through coordinated cell movements and state transitions, distinct from mesoderm-like T-Bra-expressing cells.",PMC,9033300.0,False
35063126,2022,YAP1 regulates the self-organized fate patterning of hESC-derived gastruloids.,Eleonora … Conchi,Stem cell reports,human,H1,not reported,not reported,not reported,not reported,mTeSR1,48,widefield-fluorescence,"SOX2, OTX2, BRACHYURY, SOX17, OCT4, CDX2, YAP1",N,not reported,not reported,not reported,not reported,N,N,YAP1 knockout,YAP1 regulates the correct specification and allocation of the three germinal layers in hESC-derived 2D gastruloids by restricting Nodal signaling.,PMC,8828531.0,False
34974300,2022,SEPHS1 is dispensable for pluripotency maintenance but indispensable for cardiac differentiation in mouse embryonic stem cells.,Lu … Kyun,Biochemical and biophysical research communications,mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,240,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,SEPHS1 knockout,"SEPHS1 deficiency impaired gastruloid aggregation and differentiation into germ layers, particularly affecting cardiac lineage development, while having little effect on pluripotency maintenance.",abstract only,,False
35880022,2022,An automated do-it-yourself system for dynamic stem cell and organoid culture in standard multi-well plates.,Julia … J,Cell reports methods,mouse,SBr (Sox1-GFP: Brachyury-mCherry reporter ESCs),300,3,48,not reported,N2B27,"120, 168","brightfield, widefield-fluorescence, live-imaging","Sox1-GFP, Brachyury-mCherry, cardiac troponin T",Y,elongation,not reported,120,not reported,unclear,Y,CHIR99021 pulse duration titration (varying Wnt pathway activation timing),"Minimum 24-hour CHIR pulse is required and sufficient to induce robust symmetry breaking and gastruloid elongation, with extended Wnt pathway activation correlating with enhanced mesodermal differentiation including cardiac tissue formation.",PMC,9308133.0,False
36595961,2022,Generation of human elongating multi-lineage organized cardiac gastruloids.,T … L,STAR protocols,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,"FGF2, HGF, IGF1, Y-27632 signaling with cardiogenic factors (FGF2, VEGF, ascorbic acid)",Human elongating multi-lineage organized (EMLOC) gastruloids with integrated neurons and multi-chambered contractile cardiac tissue can be generated using timed exposure to defined signaling factors.,abstract only,9727145.0,False
34200796,2021,"Autonomy in the Development of Stem Cell-Derived Embryoids: Sprouting Blastocyst-Like Cysts, and Ethical Implications.",Hans-Werner,Cells,both,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,Ethical aspects of organismic wholeness and autonomy in stem cell-derived embryoids warrant greater attention in regulatory discussions regarding this technology.,abstract only,8230544.0,False
33891872,2021,Gastruloids generated without exogenous Wnt activation develop anterior neural tissues.,U … P,Stem cell reports,mouse,"SBr, WNT, TGF-β","25, 100",not reported,not reported,not reported,N2B27,"72, 78, 96, 120, 144, 168","brightfield, confocal, live-imaging","SOX1-GFP, T/BRA-mCherry, TLC-mCherry, AR8-mCherry, SOX2, NANOG, OCT4, SOX17",Y,"diameter, elongation","312, 335, 315, 316, 25, 29","72, 78",not reported,Y,Y,WNT inhibition with XAV939 vs. no inhibition; cell number per aggregate (25 vs. 100 cells/well),"Gastruloids generated without exogenous Wnt activation in EPI medium develop anterior neural tissues (forebrain, midbrain, hindbrain) when WNT signaling is inhibited early with XAV939, contrasting with conventional gastruloids that primarily form mesendodermal tissues.",PMC,8185432.0,False
34548640,2021,Author Correction: Depletion of aneuploid cells in human embryos and gastruloids.,Min … Norbert,Nature cell biology,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,abstract only,,False
33347872,2021,Modeling mammalian trunk development in a dish.,V … G,Developmental biology,mammalian,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Embedding of gastruloids in Matrigel enables self-organization into trunk-like structures with bilateral somites, neural tube-like structure, gut tissue, and primordial germ cell-like cells.",abstract only,,False
34940533,2021,Cardiac Organoids and Gastruloids to Study Physio-Pathological Heart Development.,E … Michel,Journal of cardiovascular development and disease,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,abstract only,8709242.0,False
33414560,2021,Mouse gastruloids take heart.,Deepak … C,Nature reviews. Cardiology,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,abstract only,,False
33340359,2021,Gastruloids: Embryonic Organoids from Mouse Embryonic Stem Cells to Study Patterning and Development in Early Mammalian Embryos.,Kerim … Vikas,"Methods in molecular biology (Clifton, N.J.)",mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,Y,none / descriptive study,"Gastruloids are embryonic organoids from mESCs that display distinct, well-organized gene expression domains and axial elongation over 5-7 days, representing a useful system for studying early developmental patterning mechanisms.",abstract only,,False
34019395,2021,Bioengineering Self-Organizing Signaling Centers to Control Embryoid Body Pattern Elaboration.,Fokion … A,ACS synthetic biology,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,not reported,N,WNT3A provision via engineered HEK-293 cells,Synthetic biology approach using Cdh3-expressing HEK cells producing WNT3A induces localized mesoderm specification and pattern elaboration in embryoid bodies through polarized Wnt/β-catenin pathway activation.,abstract only,,False
34608934,2021,Huntingtin CAG expansion impairs germ layer patterning in synthetic human 2D gastruloids through polarity defects.,Szilvia … H,"Development (Cambridge, England)",human,RUES2,not reported,6,24,not reported,MEF-CM,"1, 24, 48","widefield-fluorescence, live-imaging","SOX2-mCitrine, SMAD1-RFP, SMAD2-mCitrine, H2B-mCitrine, H2B-mCherry",Y,"SOX2+ domain area, SOX2 intensity",100,48,not reported,Y,Y,"HTT CAG expansion length variation (20CAG, 56CAG, 72CAG controls vs. HTT−/− deletion)","HTT-CAG expansion impairs germ layer patterning in 2D gastruloids through polarity-dependent defects in TGFβ signaling, causing reduced ectodermal SOX2+ domain size that correlates with CAG length.",PMC,8513611.0,False
33818562,2021,A Microfluidics Approach for the Functional Investigation of Signaling Oscillations Governing Somitogenesis.,J … F,Journal of visualized experiments : JoVE,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,microfluidic entrainment of signaling oscillations with pathway modulator pulses,"Microfluidics enables functional investigation of signaling oscillations governing somitogenesis through modulation of oscillation period, phase-relationships, and spatial gradients of pathway modulators, and can be adapted for gastruloids and organoids.",abstract only,,False
34425190,2021,"In vitro teratogenicity testing using a 3D, embryo-like gastruloid system.",Veronika … Naomi,"Reproductive toxicology (Elmsford, N.Y.)",both,"E14Tg2A, T/Bra::GFP, RUES2-GLR","300 (mouse), 400 (human)","3.25 (human pre-treatment), 0.5 (human aggregation)","0 (human pre-treatment on day 4 of adherent culture), 48 (mouse between 48-72h)","24 (human pre-treatment), not reported (mouse)","N2B27 (mouse), Essential 6 / E6 (human)","120 (mouse), 72 (human)","brightfield, widefield-fluorescence","T/Bra::GFP (mouse), BRA-mCerulean, SOX2-mCitrine, SOX17-tdTomato (human)",Y,"aspect ratio, circularity, area",not reported,"120 (mouse), 72 (human)",not reported,Y,Y,"ATRA, valproic acid, bosentan, thalidomide, phenytoin, ibuprofen, penicillin G exposure at multiple concentrations","Gastruloids can distinguish known teratogens from non-teratogens through morphological and gene expression changes, with human gastruloids showing greater sensitivity to compound exposure than mouse gastruloids.",PMC,8522962.0,False
33340358,2021,Fate-Patterning of 2D Gastruloids and Ectodermal Colonies Using Micropatterned Human Pluripotent Stem Cells.,George … Aryeh,"Methods in molecular biology (Clifton, N.J.)",human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,micropatterned human pluripotent stem cell colonies of defined size and shape,Micropatterned 2D systems allow study of self-organized patterning of germ layers at gastrulation and medial-lateral ectoderm patterning through intercellular signaling.,abstract only,,False
34021144,2021,Co-development of central and peripheral neurons with trunk mesendoderm in human elongating multi-lineage organized gastruloids.,T … L,Nature communications,human,"ED-hiPSC lines (F3.5.2, F3.2.2, F3.3.1, H3.3.1, H3.1.1, H3.4.1, A2.1.1, A2.2.1, A2.2.2)",300-400,3,0,not reported,N2B27,"24, 72, 96, 312","brightfield, widefield-fluorescence","SOX2, GATA6, DAPI",Y,"aspect ratio, L:W ratio",153,312,not reported,Y,Y,"CHIR and FGF2 pretreatment, SMAD inhibition (LDN 193189 and SB 431542), Hh-Ag1.5 supplementation",EMLOs demonstrate reproducible polarized development of interconnected CNS and PNS neurons with trunk mesendoderm and a primitive gut tube that acts as a morphological organizer of neuronal fibers.,PMC,8140076.0,False
33891870,2021,Gene expression dynamics underlying cell fate emergence in 2D micropatterned human embryonic stem cell gastruloids.,Thu … Lilianna,Stem cell reports,human,H1,not reported,not reported,not reported,not reported,mTeSR,"0, 12, 24, 44","confocal, widefield-fluorescence","POU5F1, SOX2, NANOG, GATA3, TFAP2A, T, SOX17, CDH1, CDH2, MESP1, FOXA2, NANOS3, TFAP2C",N,not reported,not reported,not reported,not reported,N,Y,BMP4 treatment in 2D micropatterned substrates,"Sequential emergence of seven cell types (EPI-like, ectoderm, mesoderm, endoderm, hPGCLCs, and ExE-like cells) occurs over 44 hours of BMP4 treatment, with prospective ectoderm and GATA3+ cells forming by 12h, mesendoderm precursors by 24h, and mature germ layers by 44h.",PMC,8185470.0,False
33217323,2021,Membrane Tension Gates ERK-Mediated Regulation of Pluripotent Cell Fate.,Henry … J,Cell stem cell,mouse,E14TG2a,not reported,3,not reported,not reported,N2B27,"8, 16, 24, 48","brightfield, confocal, widefield-fluorescence","LifeAct-GFP, Nanog, Otx2",Y,cell shape classification (round vs spread),not reported,24,not reported,Y,Y,exit from naive pluripotency via withdrawal of 2i+L inhibitors,"Membrane tension decreases as ESCs exit naive pluripotency, and this decrease in membrane tension gates ERK-mediated differentiation by regulating endocytosis rates independent of cell shape changes.",PMC,7875115.0,False
34727234,2021,Reaction-diffusion models for morphological patterning of hESCs.,Prajakta … Misha,Journal of mathematical biology,human,hESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Reaction-diffusion models with Gierer-Meinhardt equations identify three distinct regimes for BMP4, Wnt, and Nodal that produce realistic protein concentration dynamics consistent with experimental hESC patterning.",abstract only,,False
33482102,2021,Gastruloid Development Competence Discriminates Different States of Pluripotency.,Federica … Jorge,Stem cell reports,mouse,"TBV2, E14, R1, Cripto KO",300,3,48,72,N2B27,"48, 96, 120","brightfield, confocal","CDX2, NESTIN, T/BRA, SOX2, SOX17, Ki67",Y,"elongation ratio, length, volume, diameter",180,120,95,Y,Y,Cripto genetic ablation and rescue with recombinant CRIPTO or ACTIVIN A protein,"Gastruloid formation efficiency discriminates between naive and primed pluripotency states, with naive ESCs generating elongated gastruloids while primed EpiSCs fail to do so, and Cripto is essential for symmetry breaking and A-P axis formation in gastruloids.",PMC,7878839.0,False
33837289,2021,Depletion of aneuploid cells in human embryos and gastruloids.,Min … Norbert,Nature cell biology,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,aneuploid cell depletion in micropatterned human gastruloids,"Aneuploid cells are depleted from embryonic germ layers but not extraembryonic tissue in human gastruloids through BMP4-dependent apoptosis, demonstrating an in vitro mechanism for aneuploidy elimination.",abstract only,,False
34540831,2021,"Human Embryos, Induced Pluripotent Stem Cells, and Organoids: Models to Assess the Effects of Environmental Plastic Pollution.",Dragana … Biljana,Frontiers in cell and developmental biology,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,plastic pollutant exposure,"Organoids show potential for assessing effects of environmental plastic pollution on human cells by examining cytotoxic effects, gene expression changes, and ROS production, though limitations including lack of vasculature and immune cells must be addressed.",PMC,8446652.0,False
34304959,2021,3D gastruloids: a novel frontier in stem cell-based in vitro modeling of mammalian gastrulation.,C … Alexander,Trends in cell biology,mammalian,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"3D gastruloids, aggregates of embryonic stem cells, recapitulate key aspects of gastrula-stage embryos and provide a tractable tool to study early mammalian post-implantation development in vitro with potential for high-throughput analysis of normal and pathological embryogenesis.",abstract only,,False
33176168,2021,Capturing Cardiogenesis in Gastruloids.,Giuliana … P,Cell stem cell,mouse,mESC unspecified,300-700,3,48,72,N2B27,"96, 120, 144, 168","brightfield, widefield-fluorescence, confocal, light-sheet, live-imaging","Hcn4-GFP, Tbx1Cre-RFP, Flk1-GFP, Mesp1-GFP, Gata6-Venus, Gata4, GFP, Brachyury, CD31, cardiac troponin T, E-Cadherin",Y,"elongation, polarization",not reported,not reported,not reported,Y,Y,"N2B27+++ medium optimization with bFGF, VEGF165, and L-ascorbic acid phosphate from 96-144 h",Gastruloids can be stimulated to form a cardiac primordium with organized spatial arrangement of early cardiac progenitors and first and second heart field compartmentalization through optimized culture conditions combining cardiogenic growth factors.,PMC,7867643.0,False
34250208,2021,Generation of Mouse Pluripotent Stem Cell-derived Trunk-like Structures: An <i>in vitro</i> Model of Post-implantation Embryogenesis.,Adriano … V,Bio-protocol,mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,Matrigel extracellular matrix addition,"Addition of low percentage Matrigel to gastruloids results in formation of trunk-like structures with neural tube flanked by bilateral somites, recapitulating mid-gestational mouse embryogenesis.",abstract only,8250383.0,False
33981202,2021,Stem Cell Neurodevelopmental Solutions for Restorative Treatments of the Human Trunk and Spine.,T … L,Frontiers in cellular neuroscience,both,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Human stem cell developmental neurotechnologies offer promising approaches for understanding and treating trunk and spine disorders including neural tube defects, neurocristopathies, neuromuscular disorders, and neurodegeneration through disease modeling and cell replacement therapies.",PMC,8107236.0,False
33206048,2020,High-resolution transcriptional and morphogenetic profiling of cells from micropatterned human ESC gastruloid cultures.,Thu … Lilianna,eLife,both,"H1, H9",not reported,not reported,not reported,not reported,mTeSR1,44,widefield-fluorescence,"SOX2, OCT3/4, T, SOX17, CDX2, pSMAD1, SOX1, GATA3, GATA6, FOXA2, ZO-1, KRT7, AP-2α, AP-2γ, CDH1, CDH2",N,not reported,not reported,not reported,not reported,N,Y,BMP4 treatment,BMP4 treatment of hESCs cultured on ECM micro-discs for 44 hours reproducibly generates radially-arranged gastruloids containing seven distinct cell types representing three germ layers and extragonadal-like cells with primate-specific characteristics including hPGCLC and cells with amnion signatures.,PMC,7728446.0,False
32867543,2020,Measuring and Modeling Single-Cell Heterogeneity and Fate Decision in Mouse Embryos.,Jonathan … Antonio,Annual review of genetics,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Disentangling the role of heterogeneity in cell fate decision will likely rely on the refined integration of experiments, large-scale omics data, and mathematical modeling, complemented by the use of synthetic embryos and gastruloids as promising in vitro models.",abstract only,,False
32864586,2020,Translating Embryogenesis to Generate Organoids: Novel Approaches to Personalized Medicine.,Sounak … K,iScience,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,Y,none / descriptive study,"Stem cell-based embryo models including gastruloids will be increasingly important for personalized medicine, but efforts are needed to increase yield and reproducibility.",PMC,7441954.0,False
32076263,2020,Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.,C … Alexander,Nature,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,live-imaging,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,"FGF signalling reduction, Matrigel embedding","Gastruloids embedded in Matrigel generate somites with correct rostral-caudal patterning that appear sequentially in an anterior-to-posterior direction, demonstrating somitogenesis in vitro with dynamics resembling those in vivo.",abstract only,,False
32243802,2020,Gastruloids Gain Muscle: Somite Formation in Embryo-Like Structures.,A … H,Cell stem cell,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,Mouse gastruloids display significant similarities to embryos in positional lineage segregation and somite formation.,abstract only,,False
32496642,2020,Methoxyacetic acid inhibits histone deacetylase and impairs axial elongation morphogenesis of mouse gastruloids in a retinoic acid signaling-dependent manner.,W … Yusuke,Birth defects research,mouse,P19C5,not reported,not reported,not reported,not reported,"90% minimum essential medium alpha with nucleosides and GlutaMAX Supplement, 2.5% fetal bovine serum, 7.5% newborn calf serum",96,brightfield,none,Y,"aspect ratio, area",16,96,not reported,Y,Y,methoxyacetic acid (MAA) dose titration; retinoic acid signaling inhibition with BMS493,"Methoxyacetic acid impairs axial elongation morphogenesis of mouse gastruloids at teratogenic concentrations in a retinoic acid signaling-dependent manner, possibly through histone deacetylase inhibition.",PMC,8265612.0,False
32132714,2020,Publisher Correction: Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.,C … Alexander,Nature,unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,not reported,not reported,Publisher correction to a prior paper on somitogenesis in gastruloids.,abstract only,,False
32528178,2020,An in vitro model of early anteroposterior organization during human development.,Naomi … Alfonso,Nature,human,not reported,not reported,not reported,not reported,not reported,not reported,72,not reported,not reported,Y,elongation,not reported,72,not reported,not reported,N,none / descriptive study,Human embryonic stem cells generate gastruloids that undergo elongation along an anteroposterior axis with patterned gene expression and somitogenesis features resembling Carnegie-stage-9 embryos.,abstract only,,False
31613879,2019,"Dissecting the dynamics of signaling events in the BMP, WNT, and NODAL cascade during self-organized fate patterning in human gastruloids.",Sapna … Aryeh,PLoS biology,both,"ESI017, ESI017 GFP-β-catenin, RUES2",not reported,not reported,not reported,not reported,mTeSR1,44,widefield-fluorescence,"GFP-β-catenin, VENUS:H2B",N,not reported,not reported,not reported,not reported,N,N,"NODAL knockout via CRISPR-Cas9, WNT inhibition via IWP2, NODAL pathway inhibition via SB431542","BMP signaling initiates dynamic waves of WNT and NODAL signaling that move toward the colony center, with WNT signaling initiating mesodermal differentiation and NODAL signaling up-regulating it, rather than stable signaling gradients underlying primitive streak formation.",PMC,6814242.0,False
31175647,2019,Chick Models and Human-Chick Organizer Grafts.,Iain … H,"Methods in molecular biology (Clifton, N.J.)",human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,interspecies chimera transplantation of hESC-derived gastruloids into chick embryo,Human organizer cells derived from hESC gastruloids self-organize to contribute to notochord-like tissue and indirectly induce host chick cells to generate neural tissue in human-chick chimeras.,abstract only,,False
31427289,2019,Mapping cell migrations and fates in a gastruloid model to the human primitive streak.,Iain … H,"Development (Cambridge, England)",both,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,not reported,"BMP, WNT and NODAL titration","Differing levels of BMP, WNT and NODAL lead to self-organization of human gastruloids into distinct endoderm and mesoderm subpopulations that can be mapped along an anterior-posterior axis, and fate-dependent cell migrations comparable to the mouse embryo were detected using novel cell tracking.",abstract only,6765127.0,False
30311909,2018,WNT signaling memory is required for ACTIVIN to function as a morphogen in human gastruloids.,Anna … H,eLife,human,RUES2,not reported,not reported,not reported,not reported,HUESM,"1, 48","widefield-fluorescence, confocal","RFP-SMAD1, mCitrine-SMAD2, GFP-SMAD4, H2B-mCitrine, H2B-mCherry",N,not reported,not reported,not reported,not reported,N,Y,WNT signaling pre-treatment followed by ACTIVIN stimulation; SMAD pathway inhibition with SB431542,"WNT signaling creates a cellular memory that enables human gastruloid cells to respond to ACTIVIN as a morphogen, but ACTIVIN alone is insufficient to induce mesendodermal differentiation without prior WNT exposure.",PMC,6234031.0,False
30283134,2018,Multi-axial self-organization properties of mouse embryonic stem cells into gastruloids.,Leonardo … Martinez,Nature,mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,gastrulation-like stimulation and elongation in vitro,"Small aggregates of mouse ESCs self-organize to generate post-occipital neural, mesodermal and endodermal derivatives with collinear Hox patterns along an antero-posterior axis, revealing an unanticipated self-organizing capacity.",abstract only,,False
30517924,2018,The Chick Caudolateral Epiblast Acts as a Permissive Niche for Generating Neuromesodermal Progenitor Behaviours.,Peter … Benjamin,"Cells, tissues, organs",mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,TBXT,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"ES cell-derived NMp-like cells and undifferentiated ES cells display similar potentials to generate neuromesodermal progenitor behaviour in vivo, while this competence is lost in the anterior portion of gastruloids.",abstract only,6469839.0,False
28951435,2017,Anteroposterior polarity and elongation in the absence of extra-embryonic tissues and of spatially localised signalling in gastruloids: mammalian embryonic organoids.,A … Martinez,"Development (Cambridge, England)",mouse,mESC unspecified,not reported,not reported,48,72,ESL medium,"48, 72, 120","confocal, widefield-fluorescence, live-imaging","AR8::mCherry, T/Bra::GFP, GATA6::H2B-Venus, IBRE4::Cerulean, miR-290-mCherry/mir-302-eGFP, Nodal::YFP, Sox17::GFP, TCF/LEF::mCherry, Sox1::GFP",Y,elongation,not reported,120,90,unclear,Y,CHIR99021 pulse 48-72h post-aggregation,"Gastruloids develop anteroposterior polarity and elongation characteristic of the embryonic tail domain in the absence of extra-embryonic tissues and spatially localized signaling, with Wnt/β-catenin signaling providing robustness to T/Bra expression polarization.",PMC,5702072.0,False
